Date,Close
2024-01-01,125.35
2024-01-02,126.58
2024-01-03,124.77
2024-01-04,127.21
2024-01-05,128.11
2024-01-06,127.89
2024-01-07,129.03
2024-01-08,130.05
2024-01-09,131.12
2024-01-10,130.65
2024-01-11,131.89
2024-01-12,132.21
2024-01-13,133.15
2024-01-14,134.10
2024-01-15,135.25
2024-01-16,134.80
2024-01-17,135.60
2024-01-18,136.20
2024-01-19,136.90
2024-01-20,137.50
2024-01-21,138.00
2024-01-22,138.55
2024-01-23,139.00
2024-01-24,139.75
2024-01-25,140.10
2024-01-26,141.00
2024-01-27,142.20
2024-01-28,143.00
2024-01-29,144.50
2024-01-30,145.00
2024-01-31,145.75
2024-02-01,146.20
2024-02-02,147.10
2024-02-03,148.00
2024-02-04,147.80
2024-02-05,148.50
2024-02-06,149.20
2024-02-07,150.00
2024-02-08,150.50
2024-02-09,151.00
2024-02-10,151.90
2024-02-11,152.30
2024-02-12,153.00
2024-02-13,154.00
2024-02-14,155.10
2024-02-15,156.20
2024-02-16,157.00
2024-02-17,157.90
2024-02-18,158.50
2024-02-19,159.00
2024-02-20,160.00
2024-02-21,161.00
2024-02-22,162.00
2024-02-23,162.90
2024-02-24,163.50
2024-02-25,164.00
2024-02-26,164.75
2024-02-27,165.30
2024-02-28,166.00
2024-02-29,167.00
